Educ,YEAR,Age_grp,w.obs,obs,lnWealth.mean,lnWealth.sd,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd,BASE_YR
NoHS,2007,"(15,20]",77395.74738704601,13,0.156293016053886,1.3723192608169321,-2.779663542204234,1.3766921219263186,2.93595655825812,0.6334611838649324,2019
NoHS,2007,"(20,25]",634562.7267168679,82,1.260448289736397,1.5694250696789354,-2.1635488169913355,1.4023856417701523,3.423997106727733,0.5051918700435347,2019
NoHS,2007,"(25,30]",744060.7046752869,105,3.1824318154163533,1.3512580232782367,-0.32673253951115433,1.468799756797023,3.509164354927508,0.6586819075313977,2019
NoHS,2007,"(30,35]",1175878.542269338,161,3.1766019001028747,1.7197117284093748,-0.4405841710593697,1.6092584114460562,3.6171860711622443,0.5013107832324871,2019
NoHS,2007,"(35,40]",826581.234001066,131,3.335579807818047,2.280959415532807,-0.5435699078498233,1.9645605863034474,3.8791497156678703,0.7281511988707389,2019
NoHS,2007,"(40,45]",1295355.4736215312,195,3.1021454081662445,2.764824452523499,-0.5253716572601934,2.518130989270338,3.627517065426438,0.7109494092975961,2019
NoHS,2007,"(45,50]",1080544.6577733576,160,3.6105156288212967,2.496882919414899,-0.18877354790410544,1.9278885040796327,3.799289176725402,0.908123335696937,2019
NoHS,2007,"(50,55]",942599.7250559586,133,4.317129545821832,1.9862950716270127,0.58413081656256,1.356585990503518,3.732998729259272,0.8645944115396,2019
NoHS,2007,"(55,60]",782351.1429328299,115,3.5042638292553487,2.036223715185795,0.13051996941754512,1.6767909933123757,3.373743859837804,0.6943093380531447,2019
NoHS,2007,"(60,65]",730207.363571684,104,4.016452813246949,2.0930842064359685,0.6749805970463298,1.6198945347335723,3.341472216200619,0.8402433069567182,2019
NoHS,2007,"(65,70]",847176.1816840265,125,5.281581525988191,1.2085158659095863,1.51563689139228,1.1701248983601324,3.7659446345959102,0.6116909195182745,2019
NoHS,2007,"(70,75]",953483.298853743,116,4.414855912424031,2.0554184174151033,1.0271723871136618,1.7308939289334555,3.3876835253103685,0.7625277690726073,2019
