time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState	R
1184.0	0.0010802884766722975	0.00093358499915829896	0.0060466996628512071	31.552426044318597	1.0034517548313977	-0.00089127046280168543	-0.0024702203925137667	0.0030113617176081853	-0.0026762228357208166	6.0	1.0242176348722762
1185.0	0.017200002413732651	0.0087050952084526401	0.0032052499198855777	31.325766668664301	0.9999953016405736	0.014722001639897453	0.0010171112810173355	0.015655648385401122	0.0058186843695594683	6.0	1.0244006242817461
1186.0	-0.0086783595592403451	-0.0025813202209885588	-0.0091974105505463477	31.080637650193051	0.9999953016405736	0.011990412308496179	-0.011814260061203008	0.012583095036096115	-0.0002783549686923134	6.0	1.0246009847399649
1187.0	-0.0015310284443050826	-0.0059274161800981773	-0.006029983903365288	31.050377262107116	0.9999953016405736	-0.0040021222217889729	-0.014170198836840342	0.00056774393748026952	0.0041180327671004394	5.0	1.0245875688176691
1188.0	-0.018722605831577699	-0.014810559794830702	-0.00061504595744255042	30.896313683642035	1.0034517548313977	-0.029053584986091341	-0.024891252844517542	-0.028944890937266265	0.00020598673035357356	5.0	1.0247149085354412
1189.0	-0.0018576158759935346	-0.0017537112815504408	0.0035555534843654257	30.758134862729072	1.0034517548313977	-0.036186838721197212	-0.010872448782571098	-0.036597666954732766	0.00010208213591035373	5.0	1.0248300079406318
1190.0	-0.0032632708174284986	0.00059409051112258027	0.0029295178072010764	30.416074327044772	1.0034517548313977	-0.021126350705961805	-0.0087040600166026216	-0.021000287855123645	-0.0037552791926404069	6.0	1.0251574577907385
1191.0	0.012268651930869012	0.0085759869023869228	-0.00025553492069230188	30.213102777525769	1.0034517548313977	-0.0062642498563474369	-0.00036095445774320112	-0.0062298871226502683	-6.2614164158545515e-05	6.0	1.0253314096249542
1192.0	0.0033978222138606462	0.00062203176079211886	-0.00012955614945475702	29.801924203973574	1.0034517548313977	-0.006575803094713617	-0.0065372102700491652	0.00075804591009998035	0.0027131762889101249	7.0	1.0257290712067693
1193.0	0.0095794496694510123	0.011943972836360839	0.01212372544564877	29.350176609866423	1.0034517548313977	-0.0033369254668054182	0.0023812652557140268	0.0017861159931227277	0.00034865312200042949	8.0	1.0261723052180531
1194.0	0.008141896475703625	0.0073883590678476274	0.0015285056405183184	29.042942082294942	0.9999953016405736	0.006632753822030768	0.013107181446778693	0.0076502339562249944	0.0011021905298561981	8.0	1.0264528906936723
1195.0	-0.0017498398524171677	-0.0015668865337175042	-0.0041536063608358376	28.730677013023982	0.9999953016405736	0.010993283468411441	0.014983558989308143	0.0086691910236420533	0.00091923721115674578	8.0	1.0267431029100831
1196.0	0.0046320776574466649	-0.00086997780613229381	0.0095730145928465404	28.450862863391642	1.0034517548313977	0.024933865457109849	0.025171619539597234	0.020786945241331178	0.0064212926747356609	8.0	1.0270075855785628
1197.0	-0.0067021802170179612	0.0017750115256127685	0.0036435202964177904	27.984256970760484	0.9965529435280287	0.028462588264273059	0.025259586351649599	0.029202579783045746	-0.0020558990678952961	9.0	1.0274991474373321
1198.0	0.0072987341512296133	0.0032355363538929538	-0.0065219172237434009	27.836873042590813	0.9999953016405736	0.031104034107043432	0.015808151320705122	0.033646276163891375	0.0020072987294417108	8.0	1.0276031647378332
1199.0	-0.010248819157811173	-0.010093304400755621	0.0058987523940214892	27.777998242131506	0.9965529435280287	0.012434742803900889	0.021962438635418913	0.017960519125363117	0.0018517839723858837	7.0	1.0276202898790963
1200.0	-0.014705581566689219	-0.014750244057368356	-0.011005755978055198	27.772679151546168	0.9965529435280287	-0.0029375330142595857	0.011086238806818471	-0.009249960905894028	0.0018964464630651203	6.0	1.0275844126853417
1201.0	-0.0045721798315532247	-0.0072883343288285829	0.0056767932875279037	27.465000575189439	0.9965529435280287	-0.022169840179449007	0.0046393066486976053	-0.028477624982309102	0.0046126009603403217	7.0	1.0279330567479568
1202.0	0.0017950834413666961	0.0078585299853970447	-0.0075304291209765672	27.26338284622253	1.0034517548313977	-0.02169966926189959	-0.0044196281127972803	-0.025517425347983291	-0.0014508455836898337	7.0	1.0281376392753836
1203.0	0.00037235578413552517	0.00051116805680351263	0.0096779064646201896	27.088597670628392	1.0034517548313977	-0.019621614671378573	0.0094118847126587468	-0.023113187095658017	-0.0015896578563581142	7.0	1.0283170130254158
1204.0	0.0014345177109471585	-0.00065476351296567259	0.0017819243439043397	26.921581551428435	0.9965529435280287	-0.019406400378211952	0.0016207944637165461	-0.015235298642400252	0.00049962336755496003	7.0	1.0284901961757349
1205.0	0.0009924292595062667	-0.00018855501293435495	0.0034692447254438541	26.765706409724483	0.9999953016405736	-0.021369966916759076	0.0014465188927426098	-0.02051832966290501	0.0016806076399957406	7.0	1.028653424139796
1206.0	-0.0062340002358363122	-0.0012556592994417137	-0.0067300841866098082	26.595172543167099	1.0034517548313977	-0.025861162570093743	0.0012383519298762025	-0.028704965493823398	-0.003297733296399021	7.0	1.0288337975126098
1207.0	0.0021265693857830392	-0.0010145596933077705	0.0069390218189724351	26.447882005625306	1.0034517548313977	-0.016782417862645893	0.0022786213548271483	-0.02504603365432656	-0.00015660421730838601	7.0	1.02899111997907
1208.0	0.0018686708119837192	0.0030048817442751563	0.00063576506699991597	26.113453424834866	1.0034517548313977	0.00097270793899761898	0.013920142399882263	0.0036968300754178784	-0.0012928151495998751	8.0	1.029396495222201
1209.0	0.014577833573164334	0.0094408732296633602	0.013249088082734062	25.932905394687122	1.0034517548313977	0.017701915497489562	0.021492437195088421	0.019345100444298158	0.0038441451939011774	8.0	1.029595624894559
1210.0	0.0015287578924740863	0.0011944431770007924	-0.0013426562146010568	25.746242683365409	0.9965529435280287	0.01103782868909331	0.027680210101463931	0.015812237913078953	0.0041784599093747524	8.0	1.0298039032410462
1211.0	-0.0065890712750467095	-0.0025412203208410311	-0.0093072704607961576	25.718822274832174	1.0034517548313977	0.007985440311448766	0.0086950331760475841	0.0097883033531784847	0.00013060895516880846	7.0	1.0297915132239568
1212.0	-0.0021934616784520244	-0.0047409617553775263	0.0097296826020722982	25.417428467095121	0.9999953016405736	0.0038992420690369123	0.016642791434215543	0.0028762380752174188	0.0026781090320943338	8.0	1.0301768836095531
1213.0	0.0014609073946885154	0.0092178169133139143	0.0063881649952728381	25.247350055565104	0.9999953016405736	0.013305613995285182	0.019561711704044527	0.013493851480092633	-0.0050788004865308109	8.0	1.0303729279318226
1214.0	0.0081082992887471228	0.0041531865115347344	0.0031505516171779213	24.902747162288154	0.9965529435280287	0.01871445980626163	0.029442347507832256	0.01799555654598306	-0.0011236877093185949	9.0	1.030820930743982
1215.0	0.0011278678899477868	0.0035999823704542244	-0.0055214460950829825	24.84135967343494	0.9965529435280287	0.023329001870023625	0.016981879593776839	0.02924667171566897	-0.003595802189825146	8.0	1.0308497788461966
1216.0	-0.0026731933885497661	-0.0057241111081016705	0.012046453999678519	24.69573551229379	1.0034517548313977	0.014600009017646798	0.028392568526455442	0.015480790514094345	-0.00054488447027298129	8.0	1.031023947379762
1217.0	0.0015064355587095513	-0.001333575014243138	-0.0061095367239278886	24.707563354791908	1.0034517548313977	0.0038255607737402997	0.0090339437197934913	0.006109711971050924	0.0022951261026793752	8.0	1.0310097383173014
1218.0	-0.0057284204313230447	-0.0019198596860370287	0.0025372736845672428	24.731764394915931	0.9999953016405736	0.00071125791070247857	0.012913873618961791	0.0013201035654426541	-0.0015134346426064931	8.0	1.030980699779545
1219.0	0.0055963153975620017	0.0040718199832512347	0.0057856349151088615	24.421300870551757	1.0034517548313977	0.0073242982147947444	0.02800677899486681	0.0069732099806323333	1.1060771704490414e-05	9.0	1.031401422147739
1220.0	0.015088192182092897	0.0099343084074021704	0.0058360102918908474	24.233874281576949	0.9965529435280287	0.021999568377574441	0.024113106684685359	0.017590853155248887	0.0051649445463948611	9.0	1.0316325107900401
1221.0	-0.0028107432602544336	0.0010115093630385097	-0.00073858200868848201	24.042959091686562	0.9965529435280287	0.013793260827299036	0.016986359680724039	0.0079041258053562657	0.0013426919231023238	9.0	1.0318709338009082
1222.0	0.0040399107796478262	-0.0019440719904646464	-0.0031832403725120528	24.015174470630733	1.0034517548313977	0.0076960023252996557	0.010652567691034065	0.01082667823295802	0.0073266746932146593	8.0	1.0318607843440935
1223.0	-0.0081319932177175147	-0.00060173746380653981	0.017203013957406199	23.742628915866174	1.0034517548313977	0.0034942824910388914	0.033377027743523247	-0.00043583715135531165	-0.00020358106069630783	9.0	1.0322523496648803
1224.0	0.008795183289155073	0.013432026013356246	0.0066806207288010455	23.419604424854271	0.9999953016405736	0.022650419612496808	0.028011194472645773	0.015975603698906937	-0.0048404237848975384	10.0	1.0327173325044472
1225.0	0.0089268686544938802	0.0027787410400668122	-0.0061096997501826067	23.362683306889124	0.9965529435280287	0.026762735666806758	0.028011031446391055	0.028220298393241361	0.0013077038295296465	9.0	1.0327463663075545
1226.0	-0.0067145500710168449	-0.0047977646702164201	0.0022674986003292652	23.360000715834317	0.9999953016405736	0.023884830682627367	0.027741256362153077	0.019959193287972798	-0.00060908157127087775	8.0	1.0327039884343985
1227.0	-0.0075061638592406332	-0.0043703651344730865	-0.00065213364838223598	23.241637945313219	1.0034517548313977	0.015442645564903046	0.02130348779866198	0.019972133872129483	-0.0037448802960383673	8.0	1.0328604684299967
1228.0	0.0064735421277615224	0.0050377198531079692	0.010204724691133649	22.978698820562993	1.0034517548313977	0.010546057010608845	0.025672202197904781	0.011797858535485872	-0.0023090580213848393	9.0	1.0332592045931439
1229.0	0.0097356981169678392	0.012085227413268562	0.013880213848789236	22.689729198161967	1.0034517548313977	0.021619775060838897	0.040290998055382499	0.026995297382761851	-0.004658587317685813	10.0	1.0337012574058044
1230.0	0.018982586874341401	0.0089243342316258634	0.0117583412887452	22.53376431685896	1.0034517548313977	0.032488181282929407	0.055232579716639751	0.032425766465412842	0.0053996653250297406	10.0	1.0339182684872199
1231.0	-0.010364492763592636	-0.00082233497012618173	-0.0076119147412856414	22.515245980935223	1.0034517548313977	0.032267583776609765	0.030417651017947911	0.034991924225518112	-0.0041424924684366361	10.0	1.0339441987367906
1232.0	0.010398967744071452	0.0012356513897890942	-0.0048920224929069889	22.480195646275664	1.0034517548313977	0.020071209153042613	0.018845007796239877	0.022936427867783493	0.0050208238858457949	10.0	1.0339933737506619
1233.0	0.0007590103865076081	0.0066956749154272188	0.020404476720761178	22.17432128384403	0.9999953016405736	0.023988143028403019	0.045359184267183661	0.020375829091692221	-0.0009158406430737812	10.0	1.0344279110245835
1234.0	0.0045917486827327103	0.0033974906700584562	0.0010261370723116947	22.017776525929445	0.9999953016405736	0.032183398368677896	0.04411782273916609	0.035314787557700456	0.00027841736960060407	10.0	1.034654128312225
1235.0	0.0015239474852530854	0.00093386358540747949	-0.0029595434510163443	22.003135190421585	1.0034517548313977	0.037487627088558462	0.041810412936531982	0.032978739664867085	0.00086850126944608647	9.0	1.0346277413822371
1236.0	-0.0014558673873041883	-0.003241667919307023	0.011674135185729018	22.061481433573753	1.0034517548313977	0.029208239316143469	0.043279823431127351	0.031867503652274642	0.0026543018014487563	8.0	1.0344954839544598
1237.0	-0.013585928971163508	-0.0064282964139845689	-0.0028465904484900051	22.162405491774152	0.9999953016405736	0.010694715488890338	0.02655301913384811	0.0051033144565417743	-0.0045033307557298605	8.0	1.0343500925828977
1238.0	0.0051895197517706215	0.00024437982652125712	-0.0025099742432250771	22.256218592127588	0.9999953016405736	0.0020147610837857322	0.012284703601877833	-0.0019098178208634131	0.00044180916951947472	7.0	1.0341685329986834
1239.0	-0.011361035741022985	-0.0055429507401147937	0.0030392422904950145	22.252952282469131	1.0034517548313977	-0.0027058546862028798	0.022935860633658489	-0.0037389434930235055	-0.0053762758313890407	7.0	1.0341731846208841
1240.0	0.012665883897903463	0.0062149530062027836	0.0054169435610758043	22.094676375843047	0.9965529435280287	0.0022734469302108096	0.033244826687641282	0.0066897474895135645	0.0010746550603115885	8.0	1.0344475430712445
1241.0	0.012537697109110013	0.01522305777849331	0.0054038818507504693	21.879027715720078	0.9965529435280287	0.0108008297932769	0.018244231817630574	0.016678195723907496	-0.0016107056090713698	8.0	1.0347611151099327
1242.0	0.00035481581935314921	-0.00048284688873456716	0.0011994102710262133	21.970947354577739	0.9965529435280287	0.0069204922344838771	0.018417505016345093	0.0015669513765312892	-0.00077304290098381028	7.0	1.034579063233404
1243.0	-0.005785430865005381	-0.0098154167657624747	-0.0073993279423612002	22.102279153073844	1.0034517548313977	-0.0038287881166860771	0.013977720525000237	-0.0062665273593562887	0.0032569429997734139	6.0	1.0343413666993202
1244.0	-0.016530570737296468	-0.008498209551138558	0.0028781333250011976	22.297849341263611	0.9965529435280287	-0.0090853297485176121	0.0051817186642724167	-0.011204777285771961	-0.004775418186384721	6.0	1.0340619921244161
1245.0	0.0074994787497728588	0.0028906349918047525	0.010209273320280321	22.360470563114976	0.9965529435280287	0.00023360165727170923	0.018237582433042743	0.0057910197785315809	-0.00016657442841648735	6.0	1.0339733846154155
1246.0	0.0066122664583549984	0.0051851290094919733	-0.0026511084927673956	22.247842054058417	1.0034517548313977	0.0051743508402424254	0.018096448183500424	0.0084320004574909291	0.0012605630204463624	7.0	1.034180464454433
1247.0	0.015001156631223811	0.015724429039542631	0.013819311487475172	22.098421973911432	0.9965529435280287	0.02644173061989985	0.028876517380480582	0.027257992176406898	0.00053729061212774915	8.0	1.034442141009978
1248.0	0.016949211568176192	0.012284316853708344	0.0094153167466819454	22.061855957797036	0.9965529435280287	0.03251109446740541	0.032874890566086723	0.033356057981559051	0.0052021853265953738	8.0	1.0344949423983731
1249.0	0.0019605059330367602	0.0057802291878199519	0.00096804679570050567	21.86099983648019	1.0034517548313977	0.023068265876732053	0.028439055511036759	0.017368407002355646	0.0013824620718124437	8.0	1.0347875588377116
1250.0	0.0030114492502795187	0.0072336977967344396	0.014677794333102234	21.682284537948746	0.9965529435280287	0.030784810562201059	0.04191743957311278	0.034481873918553063	-0.0028397864746425349	9.0	1.0350998069523945
1251.0	0.015653149436882341	0.013927960564372288	0.00087614769513510993	21.438571203820139	1.0034517548313977	0.054528187892335822	0.05019291521060909	0.055737389440507989	-0.0011145976021324775	9.0	1.0354661065056165
1252.0	0.0035269404715680963	0.0028751627234173682	0.0084712197953691337	21.359438069513953	0.9965529435280287	0.065901560166891748	0.055786001680977026	0.06260890687826981	-0.00046281985398199244	9.0	1.0355865155644988
1253.0	0.0043512195440706947	0.0012475360073826991	0.0026740690122184496	21.431607410389219	1.0034517548313977	0.064258461182469695	0.048250797372915155	0.06214738214888138	0.0026408636827060833	8.0	1.0354281579084814
1254.0	-0.006840201936657575	-0.0063728545536556602	0.0047699815532027401	21.565697730848434	1.0034517548313977	0.052700477619322061	0.055671887418885291	0.053409394216356709	0.0021735162997041915	8.0	1.035225866947364
1255.0	0.0058569996063648766	0.007160728247636694	0.0028052455395739528	21.391811493227785	0.9999953016405736	0.044136776827416124	0.044657821470984072	0.044100834952591317	0.00086978765843261053	9.0	1.0355371678398262
1256.0	0.0078227577615548327	0.0074699561502242773	0.0005831827040649884	21.463755911792017	0.9999953016405736	0.039322416123932058	0.035825687428367115	0.038287944008617902	0.0012225892697632277	8.0	1.0353794692774121
1257.0	-0.00042639184369486216	-0.00010974801616026042	0.0091633387637011232	21.297206099752778	0.9965529435280287	0.033432438919951846	0.044020979396367732	0.034390746089643098	0.00090594544222861301	9.0	1.0356817229029363
1258.0	0.013576351672813125	0.013409628049280364	0.0057935571285474552	21.080804592814211	0.9965529435280287	0.03960836917249777	0.035136742191812953	0.040988069669389393	0.0010726690657611277	9.0	1.0360163740356849
1259.0	0.0035489892371236564	0.0037260017325211336	-0.0096537607533448977	20.975855430287464	0.9999953016405736	0.029406410340646616	0.024606833743332945	0.028630413040867886	0.00089565657036390811	9.0	1.0361807075963694
1260.0	0.0086567791098226543	0.0044098594934904867	0.013999477903689606	20.896748519384776	0.9999953016405736	0.030941107110719734	0.030135091851653417	0.03198453405832602	0.0051425761866960617	9.0	1.0363054702978189
1261.0	0.00078384409002785205	0.003176191632060732	-0.001835094268972437	20.804796663555031	0.9965529435280287	0.032869762735397767	0.025625928570462531	0.035054795606530575	0.0027502286446631141	9.0	1.0364514682876356
1262.0	0.0069770220215943368	0.0072718238237574617	0.018856765326644265	20.601355072383463	0.9999953016405736	0.046514441112810889	0.039712712343904055	0.044013469036811248	0.0024554268424999887	9.0	1.0367782782590949
1263.0	0.0041659413299597325	0.0047766375703535147	0.0077413455707726619	20.549155323227271	0.9999953016405736	0.04413035043552771	0.044648812375102764	0.046862329729406849	0.001844730602105931	9.0	1.0368629869411179
1264.0	0.00023293576697014373	-1.0830349571833153e-05	-0.0029662553333862363	20.6308351591552	0.9965529435280287	0.036649563935731599	0.04109937433765154	0.034707464908570795	0.0020884967186481449	8.0	1.0366808815858781
1265.0	-0.004389579172730862	0.0014412774566645581	0.0063545431952585218	20.472296595190766	0.9965529435280287	0.038200589408556418	0.038290578769208938	0.041596142092152011	-0.0037423599107474365	9.0	1.0369883560626552
1266.0	0.01581339078457189	0.010725912251545289	0.0033245419345275806	20.406264643926686	1.0034517548313977	0.035516873610821342	0.035821563575189064	0.034171589766918586	0.0013451186222794157	9.0	1.0370966830179491
1267.0	0.0046984528354010457	0.0082481595369485738	0.018709276309099909	20.228245497548333	1.0034517548313977	0.040039031415248783	0.064184600637633871	0.042464526981392137	-0.0022045880792683839	10.0	1.0374419295271224
1268.0	0.013005867224743728	0.0060073261190662919	-0.00043334091307389855	20.283242309222416	1.0034517548313977	0.041636498040824588	0.049751781820870367	0.046248045862902654	0.0047939530264090131	10.0	1.0373502740639611
1269.0	-0.0018486201316587625	0.002334691334103578	-0.0034018748799047316	20.323239297646367	0.9965529435280287	0.040794997742867434	0.048185001209938072	0.035185143113511064	0.00061064156064664248	10.0	1.0372838722862106
1270.0	0.005356044070462751	0.0051819270512400983	0.0072265856582318655	20.228895434139222	1.0034517548313977	0.03870510097035007	0.036554821541525673	0.037813456755618535	0.0007847585798695212	10.0	1.0374408439832457
