time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A
11305.0	-0.0031862071922228452	-0.0020530126731419518	-0.014001603290961562	52.116734135206663
11306.0	-0.0014715335088044679	-0.0019243551953065374	0.0037230837141002393	52.068298315093379
11307.0	-0.0020835105443293145	-0.0021372025029648967	-0.010191885396023226	52.256753749942035
11308.0	-0.0026669554960017106	-0.00191329823534514	0.0036445916874185968	52.19988793375633
11309.0	-0.00079235379108011372	-0.0014982231256810419	-0.0042068230136746987	52.134051664502984
11310.0	-0.0020104286442210739	-0.0010080783666579496	0.0046041503434859354	51.965837163299675
11311.0	-0.0011821747837303942	-0.0010285096842572727	0.00087452769744578163	52.046476027912291
11312.0	0.00053491086846668701	-0.00021969680252920121	0.001822200495373183	51.750318678360408
11313.0	-0.0016690635073417504	-0.00082248384113325912	-0.0032388485023935321	51.970965355462212
11314.0	0.00088141210418979377	-0.00049647191124835288	0.00073626849565133767	51.812475786710394
11315.0	-0.00038333019429148685	-0.0010405804621396175	-0.00021990738286126188	52.040285454868673
11316.0	-0.0049257466573098263	-0.0021597941690922884	-0.012038973275784182	52.49403316253985
11317.0	-0.00013208776182094262	-0.0017231600952980486	-0.00044711237497208067	52.307880905072309
11318.0	-0.002322616712674197	-0.0020430700681499658	-0.0042877360332271852	52.501428297698645
11319.0	-0.0020816035837010194	-0.0024102274187718375	-0.0062777153123783069	52.682801330441578
11320.0	-0.00099543029272752825	-0.0020790447649010613	0.0016084203247812567	52.61044247674922
11321.0	-0.0012539067507177926	-0.00035374157761802749	0.0135930434828333	52.062274401778673
11322.0	-0.00098068544286600279	-0.00037454036785611322	-0.0079313179188551519	52.133256409415246
11323.0	-0.00075682263146492623	-0.00081342214649771094	0.0019440459898121265	52.213576350889376
11324.0	-0.001291096480884546	-0.0010113058469445324	-0.0080002199494677573	52.270601967028192
11325.0	0.0002067630410045318	-0.00071549538974680083	0.0064586844561034251	52.108371317698904
11326.0	0.00065192864233276637	0.00013782617144797449	0.0029042934119061226	51.814289105495419
11327.0	8.169496332777193e-05	0.0013392001703926848	0.0038138358236752268	51.276410728703929
11328.0	0.0022184225933696844	0.0013242453278397015	0.0017317196407600211	51.135799993880852
11329.0	0.00069309151924135115	0.00032998436344189308	-0.00015761596077057405	51.372087536289548
11330.0	-0.0021109796843445938	-0.001115224605361842	-0.0080191654600472173	51.841239932477656
11331.0	-5.4999520400444979e-05	-0.00082924774025738834	0.00071697295001138528	51.67948205240252
11332.0	-0.0013850941884305801	-0.0013313786447739506	-0.0052739955765543911	51.887085201369857
11333.0	-0.00034427395252834003	-0.00087905767817564318	0.007567516226595572	51.740293692862352
11334.0	-0.0013844644404246154	-0.00057541765242419274	-0.002076928347942264	51.709227487809805
11335.0	-0.0028544564568195874	-0.0012218878717771275	-0.010113529499437668	51.91047683408712
11336.0	6.9929593816686619e-05	-0.0018577532247088246	-0.0012375992191575591	52.114626562257634
11337.0	-0.0019729786683486683	-0.00086486462279089515	0.0086343672909638958	51.824680276159725
11338.0	0.0029154889051532518	0.00072043386828624101	0.0038259603764099204	51.292981537132327
11339.0	-0.0015214840026884779	0.000280337423391952	-0.0039308743699530968	51.382130939232987
11340.0	0.0019067777520465068	5.8970971849037213e-05	0.0018577258696526044	51.357640354282204
11341.0	-0.0012468807977932261	-0.00025351273922402662	0.0019890931483435015	51.460405754524857
11342.0	-0.0017340363139783932	7.6027297737590871e-05	-0.00019704123818908847	51.322748036163503
11343.0	0.0008108003732461011	-0.0012762469964018308	-0.010920461832193418	51.78736796596219
11344.0	-0.0027981621874797469	-0.0015760224460532601	-0.00022210812994938323	51.862194097711765
11345.0	-0.0012895314800671631	-0.00099523986094718353	-0.00020392402216229399	51.69833196642103
11346.0	0.00036397751111194587	-0.00083304151562613171	-0.0012740023161199598	51.65372265655985
11347.0	-0.0015938204530072664	-0.0020171257910961415	-0.010070161805877387	52.100170930276455
11348.0	-0.0025255187306123528	-0.0021475829130892521	-0.00019776445683428179	52.156240572309827
11349.0	-0.0029937402516582168	-0.0019992464159230838	0.0018849601279882222	52.225442497342165
11350.0	-0.00096894434045213806	-0.0022126886607376495	-0.0062463851809566595	52.424120880120931
11351.0	-0.0031662723109220359	-0.0025333287397684146	-0.003370551490739615	52.620824159748601
11352.0	-0.0014986356827395575	-0.0017948630018298495	0.0026413764115851279	52.444388880986878
11353.0	-0.0031914571876769937	-0.0011188208796457655	-0.0023974116893739073	52.264267322083668
11354.0	0.0014280943117710443	-0.00097999547481442129	0.00083331846712164648	52.212314511288803
11355.0	-0.0025731026006630131	-0.00081187738017152178	0.0016221846854054256	52.168558964174665
11356.0	-0.00095861737281155435	-0.001933720721731591	-0.0090414148407014228	52.624067257146265
11357.0	-0.0014362912574072961	-0.0011372560461402337	0.0046531499325828118	52.310266275211397
11358.0	0.0011403927484729959	0.00040249374079692757	0.0047830837906832624	51.756907756635933
11359.0	-0.0014078355850570823	-0.00025592395403362111	0.0018009104802043652	51.992915694229772
11360.0	0.00061074540965089241	-0.00026947659634712906	-0.0031602373112677995	51.956759244886868
11361.0	5.8193562544550659e-05	-0.00063887101429349613	-0.002010446194859572	52.037127425781662
11362.0	-0.00061547573738507388	-0.00058980663746988071	0.0028525225980740032	52.007885840771173
11363.0	-0.0010781515177458179	-0.00045240973974136622	-0.00013670899800422021	51.979718132935737
11364.0	-0.0017772935601279016	-0.00013221960804976618	-0.0013212803340059143	51.826669013542102
11365.0	0.00082512957310965085	0.0004292966388312891	0.000932139208726257	51.534892607198742
11366.0	0.0031049582904407735	0.0009195082633839391	0.0038617371800131473	51.254502242592928
11367.0	0.00050045403244380893	0.00070548716553964219	-0.00010269039199717334	51.231444208341209
11368.0	0.000187505047611225	0.0011283873175853554	0.0078833576224071056	50.972461178233566
11369.0	0.00187753198029883	0.0022560798586139796	0.0067894166045090465	50.48020913134264
11370.0	0.0017925633874380509	0.0015428399687391625	-0.00072032693816903581	50.605046622139277
11371.0	0.0015481128587637727	0.0014222418504783452	0.0037926878942504683	50.502278695849085
11372.0	0.0011067300483029729	0.0011112257455141439	-0.0038974061066927579	50.500577677926557
11373.0	0.0018037561457144857	0.0020486646838786537	0.01178707823396441	50.029048350337085
11374.0	0.0020530771214291033	0.0017531185083206058	-0.0077609503368536448	50.028096799435104
11375.0	0.00097218399232779085	0.00083629065205204078	8.2620350931650322e-05	50.141330791698529
11376.0	0.0023602173800532089	0.0019106061899563098	0.011820926465250015	49.672086791261812
11377.0	0.0015027694396496649	0.0017286563409266709	0.0020465094173840459	49.702535787286763
11378.0	0.00056535050728645508	0.0010196782677118765	-0.0065718340721701018	49.823748729715419
11379.0	8.5536678846365177e-05	-0.00065532269130552656	-0.0060308355780240852	50.311175385803509
11380.0	0.00090278530753851172	0.00062936295145887833	0.0088749101300524824	49.825714685565728
11381.0	-0.0019354975025527299	-0.00060720604183539528	-0.009817527660648695	50.309949794033251
11382.0	0.00037753008725083248	-7.422055969175112e-05	0.0019081466159569516	50.046911990492802
11383.0	0.0019266252380030213	0.0012939459817302712	0.010720136410088177	49.571299551375176
11384.0	0.00044946656292554898	0.00090307985874926722	-0.0046663557559298852	49.690539338367039
11385.0	0.001036758308769592	0.0018865738511810726	0.010763090417235333	49.22930096240853
