time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg; pLvlErr
2.400000000000000000e+01;5.765641570821058992e-03;3.857243199355958607e-03;1.348775919155553726e-03;2.477536537249576121e+00;9.491016388937512094e-04;-7.213616082302198862e-05;1.348775919155525971e-03;2.465794916087815203e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.959841191174575448e-01
2.500000000000000000e+01;-1.322308991591891747e-02;-7.752796700034814137e-03;-3.333036251989662802e-03;2.494287671840512033e+00;-1.779465689857845367e-03;1.147842513253949370e-03;-3.333036251989773824e-03;2.479508521430940249e+00;2.000000000000000000e+00;9.965529435280287007e-01;9.988367930790656990e-01
2.600000000000000000e+01;1.110208357361407161e-02;6.586547033670633877e-03;2.556208451234553980e-03;2.473752588262766672e+00;4.639213532392605366e-03;2.222822557874981619e-03;2.556208451234526224e-03;2.471942198631814414e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.971132727545251040e-01
2.700000000000000000e+01;-1.014591640703134401e-02;-4.342667072276804041e-03;2.536478648349133058e-03;2.465874330894850086e+00;-1.097167467982523847e-03;2.008314946196299022e-03;2.536478648349022036e-03;2.464436801126231646e+00;2.000000000000000000e+00;9.999953016405735973e-01;9.978862003946820103e-01
2.800000000000000000e+01;1.017961229567945769e-02;7.104750046023872168e-03;1.831136341179206983e-03;2.462586401252575996e+00;4.223567902424618659e-03;2.578122378459085651e-03;1.831136341179206983e-03;2.470519652121377696e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.969308119204193241e-01
2.900000000000000000e+01;-1.193313304450435708e-02;-8.871936504229072096e-03;-4.047268792647912283e-03;2.470273083781226564e+00;-2.255023349293339141e-03;-6.168907318926941663e-04;-4.047268792647801261e-03;2.467538464296357148e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.000627169155400065e+00
3.000000000000000000e+01;8.580725576986136804e-03;9.561090649709183542e-03;7.188391486359524407e-03;2.453409930142781636e+00;1.927630819467840428e-03;2.452251823529066899e-03;7.188391486359552163e-03;2.466066290015229256e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.967076301176833741e-01
3.100000000000000000e+01;-4.916863724900244481e-03;-7.287946463062952573e-03;-1.966399610072916415e-03;2.456809937239713637e+00;1.940627719908077919e-03;6.717944644024781420e-04;-1.966399610073055193e-03;2.457559472896273967e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.000642842786853448e+00
3.200000000000000000e+01;-9.846025757327819816e-03;-7.729313408662535911e-03;-4.830572417471701296e-03;2.480837821267690924e+00;-2.565371228633567258e-03;-1.432658743700618298e-03;-4.830572417471701296e-03;2.462550063008583479e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.004797347647838013e+00
3.300000000000000000e+01;-3.898926755382114973e-04;-6.594236739370151756e-03;-6.579912665035242414e-03;2.508936532566452104e+00;2.217764352649420623e-05;-3.297941874060961176e-03;-6.579912665034992614e-03;2.468040506850392113e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.008932169314480598e+00
