time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	MrkvState
162.0	-0.0059398659564413592	-0.0064247659889280495	-0.0091689481823182817	82.356795968833453	0.0
163.0	-0.012967633509921805	-0.0058500968319741276	-0.0061115619410354594	82.166570889395373	0.0
164.0	-0.00051089573148010992	-0.0031561945736273689	0.0070658217448231753	81.486394419580662	1.0
165.0	-0.0015695549773133699	-0.003646058122444451	-0.0088193215177407858	81.794809464417114	1.0
166.0	-0.0029896087418250783	-0.0018866778570836296	-0.005715152672036039	82.189690032319419	2.0
167.0	0.0038307423689423192	0.0012663312886724842	-0.0056186441796655107	81.827835631656299	3.0
168.0	0.0024618505058404683	0.0043608760722977369	0.0021754455592217781	81.333294412363017	4.0
169.0	0.0037637184249517119	0.0066424291518845102	-0.002752469849942818	81.058159636863095	5.0
170.0	0.010197698333186178	0.0046062233432206945	0.003358068362015576	80.399065413056974	5.0
171.0	-1.0538388470759941e-05	-0.0011845668561591971	-0.0065931125441796024	79.843400761552019	4.0
172.0	-0.0065504925680195392	-0.0052610790155573905	0.004160889870936213	79.227890249894784	3.0
173.0	-0.0034632171564297209	-0.00038959227470192204	0.0041990156142470703	78.513163458868519	4.0
174.0	0.0054755397147152607	0.0043878900529634723	0.005715132958886926	77.306263235409489	5.0
175.0	0.0058739617935423816	0.0039263107653395579	0.0065052928018400902	76.123150003183611	5.0
176.0	0.0037340646903689656	0.0036022515124014554	0.0097779250472167512	74.976480009001705	5.0
177.0	0.00317925242622219	0.0022077894567120726	0.0013212698050566463	74.582684477495619	5.0
178.0	-0.0018940300027514567	0.0012376791951116406	-0.0052244600686837117	73.992651015243752	5.0
179.0	-0.0019104643523670806	0.00080048837912150006	0.0097185046104570905	73.236334976614273	5.0
180.0	0.00065628908656667484	-0.0011292666430444687	-0.010405077803681273	73.551644854040589	5.0
181.0	0.0051853383156148514	0.0022665084182418305	-0.0016146312220683967	73.177864721586033	6.0
182.0	0.0045513486411485893	0.0040457419290498287	-0.0056932250860011191	73.216426180655901	7.0
183.0	0.0098072346740794014	0.0062428431018592967	0.0048051436800482517	72.407628191875091	8.0
184.0	0.0011683629073249158	0.006241209671683734	-0.0044425674881194421	72.173922144900743	9.0
185.0	0.0061135092270199198	0.0058068256385241934	0.0058939717101547107	70.511446383894722	9.0
186.0	0.003707556083251573	0.0047229429644182197	0.0057226727071222339	69.414523692845748	9.0
187.0	0.001778114290205135	0.0023278611636179392	-0.00036531967286101974	69.166906836202685	9.0
188.0	0.0067879939660859812	0.0039301163183023125	0.0070226138994113896	67.794857416804504	10.0
189.0	0.0035373563458904744	0.0045681076785846209	0.01728509884848406	66.16140708090694	10.0
190.0	0.00054247437194021586	0.001892006004315494	-0.0064594824752628455	65.432051894802086	9.0
191.0	-0.0012149158258625281	0.00088466624152183648	0.005801368808489471	64.72384211010214	9.0
192.0	0.0022817937274703937	-2.0449342787332014e-05	-0.0015011226939061206	64.189666261775386	9.0
193.0	-0.0036184415354469923	-0.0029736771615196389	-0.00079185676798632088	63.438770345072008	8.0
194.0	-0.0018607712562062062	-0.0058224500003816182	0.00303591381639845	62.67417063302468	7.0
195.0	-0.0058604502439199013	-0.0051190952917035126	0.0054393998777282349	62.243806565261167	7.0
196.0	-0.0076221539482645984	-0.0028824596636287669	0.011429982962213536	61.107393588300653	7.0
197.0	0.0032854923748046883	-0.001983761020853736	0.0012886647269176876	60.46339829550385	7.0
198.0	-0.0010594634486358334	0.0031260055146162813	0.0066352042576798276	59.2901814990378	8.0
199.0	0.003838054403184632	0.0021411092074743454	0.0056324494047526041	58.733430668465843	8.0
200.0	0.0028986706143749874	0.00032452997254051041	-0.0023133535307666708	58.7551692144825	8.0
201.0	-0.0023455932107601107	0.0030151546968650855	0.0057026737014127526	57.977676014971308	9.0
202.0	0.0050556226227325141	0.0022034067703615712	-0.004112589027733593	57.453940536983474	9.0
203.0	-0.0047992346312000222	-0.0016925848798454712	0.0014448597760141624	57.185293126819303	8.0
204.0	-0.0080464547876355486	-0.0060951051412856394	-0.0096483168583696433	57.272720848085264	7.0
205.0	0.001271132852598944	-0.0057752162585247291	-0.0047290337865912857	57.081967235101011	7.0
206.0	-0.011247192970825548	-0.0089407554092459929	0.0013421519190786046	56.857776652285366	6.0
207.0	-0.0046595914646543335	-0.0026125289972267485	0.0073886015693551688	56.166816588807123	7.0
208.0	-0.0037678514521808371	-0.001928747316316981	0.004627469196641476	55.78741899471737	7.0
209.0	0.0013586964640626142	-0.0014933432510613187	-0.0023745655915201613	55.407103045840643	7.0
210.0	0.00019616425138568871	-0.0040001511794740541	0.0093349425772841776	54.608698989336609	6.0
211.0	-0.0040538680846990971	-0.0017923387544802605	0.011591481405799575	53.866641866929371	6.0
212.0	-0.0031159454809137621	-0.0012502569387402573	0.00072772253601161019	53.674900287878117	6.0
213.0	-0.002446704659057497	-0.0017264934254541675	-0.0092702935891881832	53.729531899319326	6.0
214.0	-0.00095581189868632066	-0.0028277697194978302	-0.0013026274237974977	54.05511557231965	6.0
215.0	-0.0069310783360865269	-0.0029526457407667017	-0.0073370790614011305	54.100565461982363	6.0
216.0	0.00093193548082726174	-0.0060282911463687139	0.007441116984809204	53.727208359176409	5.0
217.0	-0.0097005386861479526	-0.0076750820155304655	-0.0015924924231052184	53.194451726562555	4.0
218.0	-0.0051647199594369031	-0.0068280857933655792	-0.0024939500293481576	53.480683214574498	4.0
219.0	-0.0085550527328817072	-0.0043245532020133037	0.011389249719657935	53.018044503008035	4.0
220.0	0.0013385382231809739	-0.0020748598003670349	0.00070811078879629008	52.568738635256651	4.0
221.0	-0.0027562455011969078	-0.0023545220816307832	0.00074314726560875677	52.924158423426661	4.0
222.0	-0.0043451821098137167	0.00099986643226590566	-0.011893430552271989	53.421173740417238	5.0
223.0	0.003857376983561478	-0.00019063580095513011	-0.0061922176196735901	53.637520308920685	5.0
224.0	-0.0029434486319037667	-0.0033433103750195592	0.0085462692288855724	53.169797867609518	4.0
225.0	-0.0049667269014066484	-0.0028247619331578377	0.00085201950977031871	53.372122523305485	4.0
226.0	-0.0018492923414541451	-0.0023661065465965248	-0.0061220855753820747	53.437887808845659	4.0
227.0	0.00044372381791579762	-0.0014728068780642811	0.0046095599116180441	53.254202084333492	4.0
228.0	-0.0011173525845840082	2.3635620467477025e-05	0.0018590012507158082	52.816042341484625	4.0
229.0	-0.0077051176764151297	-0.0053783970353498134	-0.0063342151468810393	53.515681843812821	3.0
230.0	-0.0031380721199971706	-0.0069794521945354404	0.0034511595492197067	53.266878998551192	2.0
231.0	-0.0091167137970180612	-0.0082415792495007523	0.0021152513344313562	53.542187145361858	1.0
232.0	-0.0074679334687806076	-0.0075193420769665842	-0.0085385395164316868	54.213857045811999	1.0
233.0	-0.0066299959743694181	-0.0062607827019747209	-0.0066638264472602682	54.487951395867675	1.0
234.0	-0.0075410339613732891	-0.0083911944183745479	-0.017747367488808896	55.493372688552512	0.0
235.0	-0.009367995223168224	-0.0075990692723517661	-0.0039258077363957256	55.967853179433192	0.0
236.0	-0.0086505413877178139	-0.0072625057114330538	-0.011911696449947939	56.716372378698757	0.0
237.0	-0.0062019571763252124	-0.0064929985749386798	-0.00098416808702217473	57.203401658268454	0.0
238.0	-0.0015008118804724635	-0.0059468094539778527	-0.0077565918828381708	57.822582343386713	0.0
239.0	-0.011809387739455612	-0.0042927931768561578	-0.010659371349569069	58.497573815865096	1.0
240.0	0.0053914063743565332	-0.00076536264534454723	-0.00073825606391353382	58.656360078424086	2.0
241.0	-0.0044114957203060801	0.00036045412858620729	0.0065515941818587997	58.387757111164724	2.0
242.0	-6.9690323289073319e-05	0.00033113650738458844	-0.0056926238024845865	58.546797333218791	2.0
243.0	-0.0016772903640582815	-0.0031267563499519646	-0.00069157676227638021	58.940260603304132	1.0
244.0	-0.0022237843881380837	-0.0040264300293331168	0.00010811040747182865	59.140234246264995	0.0
245.0	-0.00038811864995125234	-0.0027659622506817083	-0.0096994039816749034	59.66657447629354	1.0
246.0	-0.0084973666435490536	-0.0026518954989627197	-0.0029113732189058883	59.91676602924052	1.0
247.0	0.0096347356854842303	0.0015184506765013595	0.0045174151336189183	59.629046589293829	2.0
248.0	-0.0039999579327696377	-0.0027717328070915315	-0.010764793538351691	60.305797864432627	1.0
249.0	-0.0074320962172869098	-0.0043123957211115282	-0.0099861316492104724	61.27174426086507	1.0
250.0	-0.0065975536803732915	-0.0062180959023689919	-0.012193754367200826	61.85104144022722	0.0
251.0	-0.0078479803177617935	-0.0062516986818454967	-0.008150680507356789	62.429399259759116	0.0
252.0	-0.00046500366444290897	-0.0041749906522059455	-0.0039244624153591534	62.77265874993887	1.0
253.0	-0.0045089885899818327	-0.0032593751264369253	5.0787761087134342e-05	62.810894802868013	1.0
254.0	6.0869674372687754e-05	-0.0031718592312119931	-0.0070770590292172919	63.154377958412383	1.0
