time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg; pLvlErr
3.100000000000000000e+01;-5.129944440617179024e-03;-7.501029336836440020e-03;4.958857480590328493e-04;2.453024999038849074e+00;1.727132196578051726e-03;4.564689135542893128e-04;4.958857480591438716e-04;2.453881300270584820e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.000642842786853448e+00
3.200000000000000000e+01;-1.023111691660194555e-02;-8.114402641396983862e-03;-7.292857775603844850e-03;2.472669155263315321e+00;-2.959243527222515935e-03;-1.824897340612405272e-03;-7.292857775603983628e-03;2.454531564217526274e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.004797347647838013e+00
3.300000000000000000e+01;-4.251533253088746189e-04;-6.629503036065353960e-03;-2.754676328822425191e-03;2.500153222830404864e+00;-1.181033954755772442e-05;-3.336718437552760319e-03;-2.754676328822425191e-03;2.459459429995961788e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.008932169314480598e+00
3.400000000000000000e+01;2.863084317134306778e-03;6.734111752954130559e-03;1.011186844529107787e-02;2.498862012413326283e+00;-3.158468297017241744e-03;-1.083986511014184417e-03;1.011186844529110562e-02;2.463804520434001333e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.004759217064009391e+00
3.500000000000000000e+01;1.014633066513366544e-02;9.432948745830976867e-03;-5.202610700505261310e-03;2.478424015748980747e+00;1.633113365867161493e-03;1.250812330136075179e-03;-5.202610700504983754e-03;2.459038326477559711e+00;2.000000000000000000e+00;1.003451754831397702e+00;1.000041212287575476e+00
3.600000000000000000e+01;6.641828139572675260e-03;9.206992935382810050e-03;1.033246317402905512e-02;2.458628324146881372e+00;1.499200004442924339e-03;2.873870614566731430e-03;1.033246317402902736e-02;2.461072500941733132e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.953990372511616336e-01
3.700000000000000000e+01;-4.006531482928871180e-03;-9.548557011273259287e-03;-8.266150858827342462e-03;2.464609227226788324e+00;2.142328208053503880e-03;-8.276406714565476275e-04;-8.266150858827342462e-03;2.459910502704667934e+00;2.000000000000000000e+00;9.965529435280287007e-01;9.989857692092155572e-01
3.800000000000000000e+01;3.377893373443324743e-03;1.029086195883999189e-02;1.320498111416912312e-02;2.446150040595209241e+00;2.058841067580086115e-04;3.910540727095193625e-03;1.320498111416901210e-02;2.459051899054931045e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.952262445339454811e-01
3.900000000000000000e+01;-2.341545995054566953e-03;-7.181638529450279362e-03;-2.419415600238422615e-03;2.455355134166488984e+00;3.860682803804679764e-03;1.266879486302011082e-03;-2.419415600238422615e-03;2.457963644969272554e+00;2.000000000000000000e+00;9.965529435280287007e-01;9.992919942682976231e-01
4.000000000000000000e+01;-1.296683921159975938e-02;-9.451661419566714795e-03;-1.294649497069219612e-02;2.469278907715644067e+00;-4.541174513847223704e-03;-2.657392384932746876e-03;-1.294649497069222388e-02;2.453717225702264582e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.003606418883240314e+00
4.100000000000000000e+01;-8.609792969225094073e-03;-6.563614393036321104e-03;-6.675553216902441189e-04;2.488666459180238100e+00;-3.763164034735894115e-03;-2.666617896122866482e-03;-6.675553216902163634e-04;2.450853131757075420e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.007873618093652945e+00
4.200000000000000000e+01;8.161740334930195351e-03;6.596946962699051786e-03;1.215816066071823132e-03;2.482837263352484225e+00;-3.615587275830611791e-04;-1.200130761331602569e-03;1.215816066071684354e-03;2.451625063188465958e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.003872859517053406e+00
4.300000000000000000e+01;8.655692069613002415e-03;9.751696247428401354e-03;1.172607328488955991e-02;2.478706734606135775e+00;1.344408562613086389e-03;1.931756687098745706e-03;1.172607328488969869e-02;2.462937538405338689e+00;2.000000000000000000e+00;1.003451754831397702e+00;9.993524747499422656e-01
4.400000000000000000e+01;-7.629056954661539436e-03;-9.686819604024524133e-03;-4.863301235259992472e-03;2.497625750840707148e+00;-1.322604719965203568e-03;-2.425358757955325961e-03;-4.863301235259881450e-03;2.470512829996396320e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.002734609002719157e+00
4.500000000000000000e+01;1.028259181696211666e-02;1.072217912977131704e-02;2.017920450805621435e-03;2.487457451355978844e+00;2.864414384046498618e-03;3.099989018662208107e-03;2.017920450805510413e-03;2.475760545267945201e+00;2.000000000000000000e+00;1.003451754831397702e+00;9.985005903437046415e-01
4.600000000000000000e+01;1.326289662344627696e-02;1.099856738451271410e-02;1.030020274042364736e-02;2.472385341435494599e+00;6.012023029640184424e-03;4.798570053250461598e-03;1.030020274042353634e-02;2.483018867174494826e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.942244429098815450e-01
4.700000000000000000e+01;-5.743886503688733214e-03;-6.623400160245582202e-03;-7.965499170399903406e-03;2.474293866265559583e+00;2.984162905573697899e-03;2.512831949821450750e-03;-7.965499170399792384e-03;2.477034921495217645e+00;2.000000000000000000e+00;9.965529435280287007e-01;9.981450431811518254e-01
4.800000000000000000e+01;7.706301523100644868e-03;1.018361534070372221e-02;1.268415631280284117e-02;2.455428606998000252e+00;2.342227763511728345e-03;3.669819075646896245e-03;1.268415631280284117e-02;2.476318846077991687e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.945276856916037689e-01
4.900000000000000000e+01;-2.616538345442814828e-03;-3.038994182661680643e-03;-1.330131118961602743e-03;2.442170128542998420e+00;3.938184055018542629e-03;3.711790170131082367e-03;-1.330131118961741521e-03;2.460909538498134541e+00;2.000000000000000000e+00;9.999953016405735973e-01;9.961366239407115630e-01
5.000000000000000000e+01;-8.117155570932024777e-03;-9.212275360820851300e-03;-5.571694363813800566e-03;2.450388509728628428e+00;-8.800550358243341975e-04;-1.466929217235235505e-03;-5.571694363813800566e-03;2.450386919322921297e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.001353544115584082e+00
5.100000000000000000e+01;5.922155053923683354e-03;8.804143507316050665e-03;9.444161432554526447e-03;2.451060309936592407e+00;1.410714554505101970e-03;2.955170814027172077e-03;9.444161432554665225e-03;2.452003393245008489e+00;2.000000000000000000e+00;9.999953016405735973e-01;1.000821918285809131e+00
5.200000000000000000e+01;-1.905691062714778838e-03;-6.244593604294010336e-03;-4.179527431804053172e-03;2.457203862301736486e+00;8.366395602064508052e-04;-1.488576275377587188e-03;-4.179527431804164195e-03;2.450528135398860829e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.001940152323212097e+00
5.300000000000000000e+01;1.147468930139876331e-02;1.100860314134256834e-02;-1.257965963282536848e-03;2.449719605892959784e+00;3.637424463770022598e-03;3.387649109351770216e-03;-1.257965963282287047e-03;2.454292671025278594e+00;2.000000000000000000e+00;1.003451754831397702e+00;9.984067096775637307e-01
5.400000000000000000e+01;7.229296937704743353e-03;9.449591028182671715e-03;1.411761864631638774e-02;2.455913569890703307e+00;3.875960889094823281e-03;5.065815450094920958e-03;1.411761864631624896e-02;2.471413931958813759e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.970221053028782698e-01
5.500000000000000000e+01;1.952050041644937117e-02;1.190289561100790761e-02;6.036711314156534280e-03;2.427156641562799866e+00;1.225397742077054264e-02;8.171706580829815603e-03;6.036711314156423258e-03;2.464877187353810672e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.925137668886485631e-01
5.600000000000000000e+01;-6.671364875217078438e-03;-1.535611558651853170e-03;2.706335656925379363e-03;2.414703224700696982e+00;1.414206998773134827e-03;4.166454790673138064e-03;2.706335656925407118e-03;2.454490697208013383e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.938377175142868447e-01
5.700000000000000000e+01;4.605998469258409944e-03;8.185937797812667394e-03;8.104200812805134602e-03;2.391361429770947122e+00;2.794750744409491006e-03;4.713238550350093425e-03;8.104200812805120724e-03;2.447237312535661680e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.910106286084352512e-01
5.800000000000000000e+01;6.649269422260128959e-03;7.518093451568327867e-03;3.219676307490301759e-03;2.382452849188528621e+00;7.469140501893664630e-03;7.934742891420501487e-03;3.219676307490426659e-03;2.451199222066625438e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.893222080617715131e-01
5.900000000000000000e+01;-4.744194980545859974e-03;-5.196143550218634832e-03;1.155234284408584999e-03;2.396194981827302062e+00;2.996388447198572447e-03;2.754189420831359980e-03;1.155234284408598877e-03;2.451751077755324193e+00;3.000000000000000000e+00;9.965529435280287007e-01;9.949653629490697870e-01
6.000000000000000000e+01;-6.909781319238125774e-03;-5.972681972429685904e-03;1.184419880585263485e-03;2.393376813769703126e+00;-5.122217491988212412e-04;-1.003064906837658476e-05;1.184419880585124707e-03;2.436431765916193815e+00;2.000000000000000000e+00;9.999953016405735973e-01;9.978869810996183753e-01
6.100000000000000000e+01;4.250182765590665435e-04;-5.243587472178137809e-03;-7.986988560521823821e-03;2.405961231563511937e+00;2.372350622320149038e-03;-6.654525378884390552e-04;-7.986988560521587899e-03;2.431533615080322175e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.000999751673868676e+00
6.200000000000000000e+01;3.507794451780496536e-03;9.858091121159318071e-03;4.929431907201714536e-03;2.395652581220963029e+00;-1.772809037526051901e-03;1.630311967105210758e-03;4.929431907201478613e-03;2.425109438061715750e+00;2.000000000000000000e+00;1.003451754831397702e+00;9.987362011735624323e-01
6.300000000000000000e+01;-4.218452232317662642e-03;-6.362414295646531825e-03;4.233987930349791817e-03;2.424224377785100248e+00;1.706573817937886983e-03;5.576255544608027526e-04;4.233987930349916717e-03;2.433332524186233137e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.003491229507396998e+00
6.400000000000000000e+01;3.903557036243357481e-03;5.461667575547585196e-03;-8.588331372570701117e-04;2.419951115366276717e+00;-1.717891426331538685e-03;-8.829007196119592615e-04;-8.588331372569313338e-04;2.428672235563160253e+00;2.000000000000000000e+00;9.999953016405735973e-01;1.002541341546878462e+00
6.500000000000000000e+01;-3.837256545791978279e-03;-9.314528544188308001e-03;-6.476796286831995597e-03;2.439245395334060262e+00;-1.374311809300560183e-04;-3.072698674132789964e-03;-6.476796286832259275e-03;2.430943132990080358e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.005830549643090821e+00
6.600000000000000000e+01;-1.285228296894379285e-02;-4.283431326531597638e-03;-5.545473787212901184e-03;2.460754300136031691e+00;-7.616495034559883637e-03;-3.024451461150809428e-03;-5.545473787212665262e-03;2.439541188636511038e+00;0.000000000000000000e+00;9.999953016405735973e-01;1.006845306435201648e+00
6.700000000000000000e+01;7.068321201866289982e-03;3.396859494018633630e-03;1.969112705300826716e-03;2.455096848942081689e+00;-1.786894062723670684e-03;-3.754428668771916944e-03;1.969112705300715693e-03;2.440294757244283463e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.002976493513362266e+00
6.800000000000000000e+01;5.912118585685341432e-03;5.075677066176703667e-03;6.301521955753064397e-03;2.455283907982734437e+00;-2.790517557104826851e-04;-7.273003734343530535e-04;6.301521955752939497e-03;2.447954399791370417e+00;2.000000000000000000e+00;9.999953016405735973e-01;1.001066436011494920e+00
6.900000000000000000e+01;-7.151079788355579892e-03;-8.685160983220863162e-03;-9.085649487610772401e-03;2.459718727915378267e+00;-1.243028555214242825e-03;-2.065141947527063260e-03;-9.085649487610758523e-03;2.441903803420247154e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.003870065436465397e+00
7.000000000000000000e+01;-5.652610134070937264e-03;-6.144707207506830415e-03;-1.001641932769747889e-02;2.488319324726448123e+00;-1.722097668808819648e-03;-1.985812259499133980e-03;-1.001641932769725685e-02;2.453407054518563335e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.007322893141738396e+00
7.100000000000000000e+01;5.428393897555908176e-03;7.780967710610167676e-03;1.537657138920613120e-02;2.482949939717586485e+00;-6.017572382670810516e-04;6.589859639766632027e-04;1.537657138920602018e-02;2.457885899302884258e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.002872274424830179e+00
7.200000000000000000e+01;1.000469807627528407e-02;5.815902750437071389e-03;-6.745162510089511287e-03;2.482375993356359167e+00;2.426404730836231871e-03;1.816312817155274484e-04;-6.745162510089650065e-03;2.467322552176459016e+00;2.000000000000000000e+00;9.999953016405735973e-01;1.000702419211872973e+00
7.300000000000000000e+01;9.378509213029143088e-03;1.172282923415943201e-02;1.177288787279344440e-02;2.466855328728440266e+00;4.139576606264031011e-03;5.395896605289593473e-03;1.177288787279345827e-02;2.476174265475049374e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.954572649026131037e-01
7.400000000000000000e+01;1.392634703292629228e-02;6.441636389599131318e-03;7.046510115246998329e-03;2.451178556467832781e+00;9.380084450270498309e-03;5.369031529433437866e-03;7.046510115246998329e-03;2.477956106729294117e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.934298882334791081e-01
7.500000000000000000e+01;-1.967757326791673422e-02;-5.854803215691262164e-03;-8.010251217755254283e-03;2.453136816104707574e+00;-5.800485430059912351e-03;1.607130553260407990e-03;-8.010251217755004483e-03;2.476942602764505619e+00;3.000000000000000000e+00;9.965529435280287007e-01;9.966021104997007107e-01
7.600000000000000000e+01;-2.149093160165357896e-03;-9.550452454836405591e-03;-3.205718114725253365e-03;2.459744520199762530e+00;2.465678019317976699e-03;-1.500706952894920176e-03;-3.205718114725253365e-03;2.470306582270378026e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.000673721006218653e+00
7.700000000000000000e+01;-1.380872457768737849e-02;-8.017676790835065459e-03;-6.963258239223196755e-03;2.494976492056647732e+00;-4.631785396689500067e-03;-1.528365605722753484e-03;-6.963258239223210633e-03;2.484625856810020572e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.005098769294539229e+00
