time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg; pLvlErr
5.800000000000000000e+01;1.223864745706126911e-03;2.287722626202463860e-03;-9.289234166399953918e-02;2.535932306771289113e+00;2.022023558986507652e-03;2.801169124268712562e-03;-9.289234166399935877e-02;2.608907506475795834e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.893222080617715131e-01
5.900000000000000000e+01;-3.998730267400787963e-03;-4.552132373242957775e-03;7.132793057622535682e-02;2.559128237508803139e+00;3.862172806598312969e-03;3.456873560815969249e-03;7.132793057622541233e-02;2.618161085695460244e+00;3.000000000000000000e+00;9.965529435280287007e-01;9.949653629490697870e-01
6.000000000000000000e+01;-4.561637392549652836e-03;-3.414177732963624701e-03;2.712374156025813832e-02;2.589152056628560850e+00;1.785572101435352332e-03;2.625945727929124285e-03;2.712374156025804117e-02;2.635194384896514475e+00;2.000000000000000000e+00;9.999953016405735973e-01;9.978869810996183753e-01
6.100000000000000000e+01;-6.767729515311210475e-03;-1.370882540330455035e-02;-1.506094749737224570e-01;2.505166771310351148e+00;-3.902713839051129285e-03;-8.986216230183911857e-03;-1.506094749737223182e-01;2.533029793294682808e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.000999751673868676e+00
6.200000000000000000e+01;-5.931287807889193409e-03;1.844525161496163301e-03;4.929431907201631269e-03;2.404946847192111381e+00;-1.205260157861968995e-02;-6.357771185734953368e-03;4.929431907201631269e-03;2.436657098562037937e+00;2.000000000000000000e+00;1.003451754831397702e+00;9.987362011735624323e-01
6.300000000000000000e+01;4.387332712334213181e-04;-2.186505971255955916e-03;1.468564743435505915e-01;2.478063334993719113e+00;6.625097075726893436e-03;4.702430946077959528e-03;1.468564743435504805e-01;2.489070610609753320e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.003491229507396998e+00
6.400000000000000000e+01;5.228706217422995906e-03;7.136581828601801236e-03;-2.679815481693011148e-02;2.489612664570420186e+00;-6.444128319091912971e-04;7.528723213168359019e-04;-2.679815481692988943e-02;2.500140474424154657e+00;2.000000000000000000e+00;9.999953016405735973e-01;1.002541341546878462e+00
6.500000000000000000e+01;-3.072277864584582741e-03;-9.779089350629308064e-03;-2.861316956265166911e-02;2.503633865503748890e+00;1.404460257906234300e-03;-3.507457510750558449e-03;-2.861316956265169686e-02;2.496784513330792876e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.005830549643090821e+00
6.600000000000000000e+01;-1.897719089664778869e-02;-8.484801138686243194e-03;-5.358179680320994398e-02;2.476809985089110544e+00;-1.493320045505211469e-02;-7.248810369682681665e-03;-5.358179680320998561e-02;2.457222930844934261e+00;0.000000000000000000e+00;9.999953016405735973e-01;1.006845306435201648e+00
6.700000000000000000e+01;6.086644014217740262e-03;1.591011597208785711e-03;2.787537925191221899e-02;2.449316922926406903e+00;-2.286968376552817039e-03;-5.579468366511311506e-03;2.787537925191224675e-02;2.436202171244911341e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.002976493513362266e+00
6.800000000000000000e+01;1.415346217698350284e-02;1.312925604077413988e-02;1.236991447639064906e-01;2.540347041041508547e+00;8.104849541162778559e-03;7.354744020874631749e-03;1.236991447639064490e-01;2.534511562507676619e+00;2.000000000000000000e+00;9.999953016405735973e-01;1.001066436011494920e+00
6.900000000000000000e+01;-9.077572623888391368e-03;-1.095602477694196386e-02;-1.264832722957643929e-01;2.518250561733581083e+00;-2.942162376983303851e-03;-4.317898451771495782e-03;-1.264832722957643374e-01;2.501659829375403987e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.003870065436465397e+00
7.000000000000000000e+01;-1.331382288409803383e-02;-1.391638604059915185e-02;-8.243315431601955234e-02;2.459077857873643858e+00;-9.420268351310767674e-03;-9.861572044028876771e-03;-8.243315431601974663e-02;2.425827023588282838e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.007322893141738396e+00
7.100000000000000000e+01;1.306730441311303170e-02;1.594798462687271878e-02;2.051909291856821305e-01;2.546694634897734399e+00;6.828604754528178056e-03;8.938350101810765835e-03;2.051909291856819362e-01;2.522762569480571759e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.002872274424830179e+00
7.200000000000000000e+01;6.823220712032340707e-03;1.694123487675502915e-03;-1.500490518648545657e-01;2.497498994828829755e+00;-2.416952588858156670e-04;-3.998130615076866956e-03;-1.500490518648544547e-01;2.483669539010728400e+00;2.000000000000000000e+00;9.999953016405735973e-01;1.000702419211872973e+00
7.300000000000000000e+01;1.273935024484215695e-02;1.560992385325243870e-02;1.078849058442828551e-01;2.524982777571445958e+00;7.151251221413204573e-03;9.253594718427626820e-03;1.078849058442830633e-01;2.535802343581649243e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.954572649026131037e-01
7.400000000000000000e+01;2.298123392862300163e-02;1.381635343207560790e-02;5.423838149852255874e-02;2.595529246796800749e+00;1.934170305198348871e-02;1.262955086874749389e-02;5.423838149852259344e-02;2.624703664019451210e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.934298882334791081e-01
7.500000000000000000e+01;-2.389306204485378005e-02;-6.967352862917247647e-03;-1.032778175565230300e-01;2.586754507079683130e+00;-1.184485226156462012e-02;5.511561622387611825e-04;-1.032778175565232243e-01;2.612512171465807942e+00;3.000000000000000000e+00;9.965529435280287007e-01;9.966021104997007107e-01
7.600000000000000000e+01;1.970632109511427643e-04;-8.865755203832224873e-03;1.893065516109425361e-02;2.604220806039852842e+00;5.889210065625274937e-03;-7.481941462437052826e-04;1.893065516109426749e-02;2.616083775337910922e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.000673721006218653e+00
7.700000000000000000e+01;-1.625535308453754380e-02;-9.164329336864146525e-03;-2.909963151504242618e-02;2.629659412850419375e+00;-7.789321701398899123e-03;-2.596015520564931567e-03;-2.909963151504242618e-02;2.619784208430374406e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.005098769294539229e+00
