time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg
5.000000000000000000e+01;-1.021477352387387127e-02;-1.163642523097030423e-02;-8.700257885356693643e-03;2.453217046531015466e+00;-6.931958185513453774e-04;-1.423895710877948195e-03;-8.700257885356582621e-03;2.446750171168185606e+00;1.000000000000000000e+00;9.931106134438250077e-01
5.100000000000000000e+01;5.107728279442835806e-03;8.849039360136007337e-03;9.592626168754975202e-03;2.453588666199209456e+00;8.064729043208151982e-04;2.729430257501413992e-03;9.592626168755086224e-03;2.448329705651560495e+00;2.000000000000000000e+00;9.999812066944210320e-01
5.200000000000000000e+01;-3.397631677192203270e-04;-5.972396476069286031e-03;-3.958867419254774589e-03;2.459849415344421253e+00;1.513193207889201863e-03;-1.381865076345994980e-03;-3.958867419254885611e-03;2.447185567430243847e+00;1.000000000000000000e+00;9.999812066944210320e-01
5.300000000000000000e+01;1.446199054172286891e-02;1.385693145027391826e-02;2.286818243018323704e-03;2.444015173707520638e+00;4.514954794445968922e-03;4.203966800153086103e-03;2.286818243018573504e-03;2.451133539416714857e+00;2.000000000000000000e+00;1.006908179861754071e+00
5.400000000000000000e+01;6.686131967181180302e-03;9.568451246887099693e-03;1.426565833850398923e-02;2.449992457634583953e+00;4.280966363537946906e-03;5.762419504851651331e-03;1.426565833850373943e-02;2.467969736059513419e+00;3.000000000000000000e+00;9.999812066944210320e-01
5.500000000000000000e+01;2.470394864650671263e-02;1.481500227220991506e-02;9.560993262447414764e-03;2.413457941401815798e+00;1.465887830928766511e-02;9.576162187713649354e-03;9.560993262447664565e-03;2.461737030715836827e+00;4.000000000000000000e+00;1.006908179861754071e+00
5.600000000000000000e+01;-7.971168131540459778e-03;-1.304087016640448349e-03;2.808622269491800605e-03;2.402045070696618545e+00;1.919124087696427727e-03;5.345867381059021817e-03;2.808622269491384271e-03;2.451914059438456306e+00;3.000000000000000000e+00;9.999812066944210320e-01
5.700000000000000000e+01;6.612920220347207056e-03;1.126029022016927783e-02;1.176882660697900485e-02;2.371591220257817323e+00;4.149696046347961520e-03;6.538349147189037591e-03;1.176882660697914362e-02;2.445177521211124194e+00;4.000000000000000000e+00;1.006908179861754071e+00
5.800000000000000000e+01;9.413454999364967435e-03;1.054133632872875093e-02;6.783689802012132786e-03;2.356091753071431594e+00;9.612296150603882872e-03;1.019200407893079696e-02;6.783689802012132786e-03;2.449719931375566873e+00;4.000000000000000000e+00;1.006908179861754071e+00
5.900000000000000000e+01;-7.025787061215524321e-03;-7.612493156317984289e-03;-2.080812959131844719e-03;2.378865443668891633e+00;4.001870161060794295e-03;3.700315231411885342e-03;-2.080812959131733697e-03;2.450183622497073443e+00;3.000000000000000000e+00;9.931106134438250077e-01
6.000000000000000000e+01;-6.951555115585719702e-03;-5.735040814219272143e-03;1.344851714133760145e-03;2.377088196516579544e+00;-2.354229594683787674e-05;6.017211666756172583e-04;1.344851714133649123e-03;2.435050500391307438e+00;2.000000000000000000e+00;9.999812066944210320e-01
6.100000000000000000e+01;2.434008799715781102e-03;-4.924805381120972436e-03;-7.767810692903109882e-03;2.390418560476569532e+00;3.685328970294943218e-03;-9.695096701194116928e-05;-7.767810692903109882e-03;2.430128424169517132e+00;1.000000000000000000e+00;9.999812066944210320e-01
6.200000000000000000e+01;4.488518220880435838e-03;1.273228313495219921e-02;8.395363273666217596e-03;2.373214773349179740e+00;-1.462749291839607335e-03;2.774377217423948383e-03;8.395363273666467396e-03;2.424037967374834235e+00;2.000000000000000000e+00;1.006908179861754071e+00
6.300000000000000000e+01;-6.083699680074994287e-03;-8.866927008649605479e-03;9.722950840124755523e-04;2.410585834973576702e+00;2.151125470220865976e-03;7.206035644978792121e-04;9.722950840121147298e-04;2.432064236015460068e+00;1.000000000000000000e+00;9.931106134438250077e-01
6.400000000000000000e+01;3.503915948468175334e-03;5.526608377642211467e-03;-8.282792530649174534e-04;2.407195555647757335e+00;-1.931016438136132218e-03;-8.913939111629687329e-04;-8.282792530646676532e-04;2.427422163792950727e+00;2.000000000000000000e+00;9.999812066944210320e-01
6.500000000000000000e+01;-4.838658103073253947e-03;-1.194908854058920888e-02;-9.761087898448067568e-03;2.434841990672121703e+00;-2.072331580117159344e-04;-3.861848932855863059e-03;-9.761087898447817768e-03;2.429085081410816027e+00;1.000000000000000000e+00;9.931106134438250077e-01
6.600000000000000000e+01;-1.534354582877806017e-02;-4.219719305171940049e-03;-5.486953565356972318e-03;2.456557264711893840e+00;-9.398235889236036811e-03;-3.680816634937980614e-03;-5.486953565357222118e-03;2.437389426026693950e+00;0.000000000000000000e+00;9.999812066944210320e-01
6.700000000000000000e+01;1.100205580016859475e-02;6.235874189085999220e-03;5.394253352469763341e-03;2.443355809684935487e+00;-9.278030986704099980e-04;-3.377522936970356326e-03;5.394253352470013141e-03;2.438589942217129547e+00;1.000000000000000000e+00;1.006908179861754071e+00
6.800000000000000000e+01;6.443440783992823717e-03;5.357597458837959348e-03;6.497520644596910255e-03;2.444293958518395815e+00;3.823557004688088456e-04;-1.757455537369084775e-04;6.497520644596910255e-03;2.446499168845412520e+00;2.000000000000000000e+00;9.999812066944210320e-01
6.900000000000000000e+01;-9.294108302687509315e-03;-1.128560655670604596e-02;-1.229622362618615350e-02;2.456909927989937348e+00;-1.565699623185451417e-03;-2.589288982320414600e-03;-1.229622362618640330e-02;2.439925028665225870e+00;1.000000000000000000e+00;9.931106134438250077e-01
