wealth_income_ratio,age_group,weight
 .1074151,1 ,.807916
  .107613,1,1.233948
 .1110363,1 ,.818994
 .1129575,1,.8110527
  .113015,1,1.469067
 .1138457,1,1.246407
 .1195049,1,1.391426
 .1201555,1,.7219437
 .1223077,1,.9046822
 .1240731,1 ,.906783
 .1247847,1,.8060293
 .1248063,1,.8401934
 .1285248,1,.8788676
 .1286498,1,1.312295
  .130008,1,.6915519
 .1334826,1,.9655024
 .1376409,1,1.214234
 .1422939,1,1.726551
 .1424914,1 ,1.02315
 .1435017,1,1.004406
 .1440238,1,1.006895
 .1452193,1,.9351233
 .1513254,1,.8390125
 .1563023,1,1.101898
 .1563627,1 ,.840661
 .1654931,1,1.093985
 .1757921,1,1.163663
 .1770538,1,1.250903
 .1778368,1,1.595274
 .1780318,1,1.121679
 .1808548,1,.8626475
 .1814928,1,.9319714
 .1831939,1,.8514131
 .1833642,1,1.013519
 .1838506,1,.8119048
   .18433,1,.6956031
 .1854997,1,1.058401
 .1857626,1,.5956262
 .1859321,1,.8223379
 .1864756,1,1.006895
 .1869662,1 ,1.33235
 .1882205,1,.7246059
 .1903381,1,.9101168
 .1905734,1,.9965576
 .1910508,1,.7259119
 .1922496,1,1.158059
 .1923691,1,.7401945
 .1926768,1,.9120632
 .1986821,1,.6942259
 .2015349,1,1.034443
 .2022136,1,1.063125
 .2039312,1,.6835377
 .2052232,1,.8888813
 .2095501,1,1.524214
 .2109155,1,.9101168
 .2114314,1 ,1.07177
 .2131901,1 ,.997017
 .2137259,1,.8210078
 .2177535,1,.8352985
 .2194806,1,.9410186
 .2207821,1,1.012863
 .2207893,1,.9549102
  .225465,1,.7930372
 .2268067,1,.7427732
 .2284113,1,.7739916
 .2314559,1,.7952847
 .2322547,1 ,.967193
 .2330572,1,.8082598
 .2354957,1,.7544374
 .2365008,1,.8551299
 .2366164,1,.9794433
 .2367249,1,1.239387
 .2394286,1,.9565239
 .2411071,1 ,.693798
 .2416015,1,.6947268
 .2417495,1,.7120155
 .2439995,1,.8458333
 .2451927,1,1.129846
 .2485252,1,.9609004
 .2490545,1,1.343382
 .2524283,1,.7160254
 .2550182,1 ,.970818
 .2553744,1,1.595274
  .259087,1,1.099314
 .2646115,1,.8641006
 .2658265,1,.8287708
 .2686473,1,.6583237
  .269983,1,1.164941
 .2718712,1,1.258033
 .2781721,1,1.149157
 .2792548,1,.7657278
   .29236,1,1.184022
 .2926066,1,.8788676
 .2959308,1,.7961223
 .3015872,1,1.488156
  .306536,1,1.219314
 .3067493,1,1.173517
 .3082683,1,.7895731
 .3084455,1,1.148122
 .3092827,1,1.492464
 .3105742,1 ,.655009
 .3110354,1,.9959403
 .3127349,1,.6964236
 .3129897,1,1.236179
 .3146965,1,.8292427
 .3165952,1,1.087223
 .3179342,1,1.243855
 .3190762,1,1.176181
 .3224216,1,.9477859
 .3241722,1,1.077478
 .3292699,1,1.213476
 .3295433,1 ,1.00956
 .3295918,1,.7388449
 .3316869,1,.8538577
 .3340353,1,.9659477
  .335249,1,.7963521
 .3353818,1,1.087063
  .335411,1,.6973649
  .345971,1,.8032621
 .3466612,1,.7486759
 .3511187,1,.8258764
 .3516774,1,1.011669
  .353358,1,.2501295
 .3539668,1,.9099469
 .3543177,1 ,.864611
 .3569007,1 ,.817063
 .3644502,1,.9325716
 .3660687,1,1.035975
 .3682946,1,1.076496
 .3717243,1,.7811226
 .3731553,1,1.099453
 .3746302,1,.5845559
 .3785957,1,.6978976
 .3799878,1,1.281635
 .3817223,1 ,1.24372
